ident,name,latitude_deg,longitude_deg
YMML,Melbourne Tullamarine, -37.6733,144.8433
YBBN,Brisbane Intl, -27.3842,153.1175
YPAD,Adelaide Intl, -34.9450,138.5306
YPPH,Perth Intl, -31.9403,115.9672
YSCB,Canberra Intl, -35.3069,149.1950
YBCG,Gold Coast Airport, -28.1644,153.5049
YPAD,Darwin Intl, -12.4083,130.8727
NZAA,Auckland Intl, -37.0081,174.7920
NZWN,Wellington Intl, -41.3272,174.8056
NZCH,Christchurch Intl, -43.4894,172.5322
NZDN,Dunedin Airport, -45.9281,170.1983
NWWW,La Tontouta Intl (New Caledonia), -22.0146,166.2120
NSTU,Pago Pago Intl (American Samoa), -14.3310,-170.7100
NFFN,Nadi Intl (Fiji), -17.7554,177.4434
NFTF,Fuaʻamotu Intl (Tonga), -21.2412,-175.1496
NSFA,Faleolo Intl (Samoa), -13.8290,-172.0083
AGGH,Honiara Intl (Solomon Islands), -9.4280,160.0549
AYPY,Port Moresby Jacksons Intl (PNG), -9.4434,147.2200
NGFU,Funafuti Intl (Tuvalu), -8.5250,179.1960
NLWW,Bonriki Intl (Kiribati), 1.3786,173.1480
NTAA,Tahiti Faa'a Intl (French Polynesia), -17.5537,-149.6060
NTTB,Bora Bora Airport, -16.4444,-151.7519
NCRG,Rarotonga Intl (Cook Islands), -21.2027,-159.8056
NWWW,La Tontouta Intl (New Caledonia), -22.0146,166.2120
